5 digit NTD ID,4 digit NTD ID,Agency,Mode,TOS,Active,Reporter Type,Organization Type ,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY, Fares FY , Operating Expenses FY , Average Cost per Trip FY , Average Fares per Trip FY 
00001,0001,King County Department of Metro Transit,DR,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"4,551,838","455,391",10.00," $686,170 "," $56,011,258 ", $123.00 , $1.51 
00001,0001,King County Department of Metro Transit,DR,TX,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"1,003,831","86,460",11.61," $11,536 "," $4,878,850 ", $56.43 , $0.13 
00001,0001,King County Department of Metro Transit,FB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"896,100","146,930",6.10," $534,182 "," $6,500,976 ", $44.25 , $3.64 
00001,0001,King County Department of Metro Transit,LR,DO,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,,,,,,,  
00001,0001,King County Department of Metro Transit,MB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"210,354,213","48,865,809",4.30," $43,705,165 "," $631,990,647 ", $12.93 , $0.89 
00001,0001,King County Department of Metro Transit,MB,PT,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"1,514,647","391,935",3.86," $592,673 "," $10,148,485 ", $25.89 , $1.51 
00001,0001,King County Department of Metro Transit,SR,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"932,676","749,443",1.24," $414,680 "," $11,968,636 ", $15.97 , $0.55 
00001,0001,King County Department of Metro Transit,TB,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"15,704,827","8,385,162",1.87," $5,074,010 "," $72,294,814 ", $8.62 , $0.61 
00001,0001,King County Department of Metro Transit,VP,DO,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,260,800",2020,12,2020,"24,936,518","1,084,802",22.99," $4,447,835 "," $8,433,948 ", $7.77 , $4.10 
00002,0002,Spokane Transit Authority,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96,"Spokane, WA",164,"387,847",248,"442,499",2020,12,2020,"781,982","117,972",6.63," $272,874 "," $9,815,083 ", $83.20 , $2.31 
00002,0002,Spokane Transit Authority,DR,PT,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96,"Spokane, WA",164,"387,847",248,"442,499",2020,12,2020,"681,696","87,843",7.76," $66,142 "," $4,017,248 ", $45.73 , $0.75 
00002,0002,Spokane Transit Authority,MB,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96,"Spokane, WA",164,"387,847",248,"442,499",2020,12,2020,"24,658,091","5,817,776",4.24," $4,648,547 "," $57,349,514 ", $9.86 , $0.80 
00002,0002,Spokane Transit Authority,VP,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96,"Spokane, WA",164,"387,847",248,"442,499",2020,12,2020,"2,215,306","90,770",24.41," $191,481 "," $541,169 ", $5.96 , $2.11 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TACOMA,WA,14,"Seattle, WA","1,010","3,059,393",292,"575,963",2020,12,2020,"220,566","33,406",6.60," $42,603 "," $3,121,375 ", $93.44 , $1.28 
